analysis_drug_name,a_psss,b_psss,c_psss,d_psss,total_exposed_psss,ror_psss,lower_ci_psss,upper_ci_psss,se_logror_psss,a_ps,b_ps,c_ps,d_ps,total_exposed_ps,ror_ps,lower_ci_ps,upper_ci_ps,se_logror_ps,total_exposed_psss_for_broad,shock_count_psss,broad_count_psss,pubchem_cid,canonical_smiles,inchikey,in_scope,exclude_reason,n_raw_names_mapped,raw_names_mapped,expected_shock,expected_broad,positive_high_flag,positive_moderate_flag,negative_high_flag,negative_moderate_flag,negative_expanded_flag,faers_signal_class,structure_available,in_scope_bool,usable_for_model,model_label,label_weight
ACETAMINOPHEN,19.0,5308.0,524.0,394663.0,5327.0,2.695987117242014,1.7044279259003603,4.264390664976588,0.23394637115569222,8.0,2768.0,535.0,397203.0,2776.0,2.145767381556912,1.0664875413891244,4.317272801664778,0.3566972780372085,5327,19,55,1983.0,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,True,,1.0,ACETAMINOPHEN,7.2221220731360205,26.34811017842073,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
AMOXICILLIN,23.0,735.0,520.0,399236.0,758.0,24.025190999476713,15.724994223202257,36.70651921192206,0.2162507498124964,19.0,317.0,524.0,399654.0,336.0,45.7137886194524,28.548484234372616,73.2000498796324,0.240202106965775,758,23,54,33613.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,True,,1.0,AMOXICILLIN,1.0276644511802333,3.7491773071602994,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
CEFTRIAXONE,7.0,444.0,536.0,399527.0,451.0,11.751584140110259,5.543189393548275,24.913406343796478,0.38337653776794434,6.0,118.0,537.0,399853.0,124.0,37.86128207556103,16.598566861169303,86.36147279429738,0.42072074021833594,451,7,31,5479530.0,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,VAAUVRVFOQPIGI-SPQHTLEESA-N,True,,1.0,CEFTRIAXONE,0.6114467908737272,2.230711036318331,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
CEFUROXIME,8.0,99.0,535.0,399872.0,107.0,60.39792315680166,29.24072029150212,124.75442072865302,0.37009818937650973,6.0,26.0,537.0,399945.0,32.0,171.87150837988827,70.45796481987414,419.25445147750975,0.45496472705576424,107,8,10,23670318.0,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)[O-].[Na+],URDOHUPGIOGTKV-JTBFTWTJSA-M,True,,2.0,CEFUROXIME | CEFUROXIME SODIUM,0.14506609007425458,0.5292374299025752,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
DEXAMETHASONE,35.0,2972.0,508.0,396999.0,3007.0,9.203328838185268,6.521772555636689,12.98746023127812,0.17572400280415887,12.0,998.0,531.0,398973.0,1010.0,9.034407798648143,5.081046339305863,16.063723654884996,0.29363426732586356,3007,35,59,5743.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N,True,,2.0,DECADRON | DEXAMETHASONE,4.076763858441902,14.873055623523772,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
DICLOFENAC,7.0,1989.0,536.0,397982.0,1996.0,2.613135303872793,1.238149854522739,5.51506434492009,0.3810880375766657,7.0,1225.0,536.0,398746.0,1232.0,4.2510234541577825,2.0125877076896272,8.97908714176964,0.38149921217702926,1996,7,34,3033.0,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,True,,2.0,DICLOFENAC | VOLTAREN ARTHRITIS PAIN,2.7060926709178705,9.872503832575141,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
IOPROMIDE,18.0,86.0,525.0,399885.0,104.0,159.42259136212624,95.23716334469603,266.86601893661845,0.26285114638520857,18.0,76.0,525.0,399895.0,94.0,180.40375939849625,107.16140024534147,303.7055911046227,0.26574557917975206,104,18,19,3736.0,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,DGAIEPBNLOQYER-UHFFFAOYSA-N,True,,1.0,ULTRAVIST,0.14099881652077081,0.5143989972884844,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
LIDOCAINE,34.0,588.0,509.0,399383.0,622.0,45.37048100183099,31.765504321535815,64.802388323548,0.18187794089014295,22.0,248.0,521.0,399723.0,270.0,68.06007367964831,43.640710887200356,106.1434045208863,0.22673484744973899,622,34,66,3676.0,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,NNJVILVZKWQKPM-UHFFFAOYSA-N,True,,3.0,LIDOCAINE | LIDOCAINE HYDROCHLORIDE | XYLOCAINE,0.8432813834223023,3.076501695321512,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
ONDANSETRON,32.0,791.0,511.0,399180.0,823.0,31.602494798380015,21.962163825174752,45.474466242567026,0.1856708776332869,5.0,238.0,538.0,399733.0,243.0,15.609204648402113,6.411770043310765,38.000001264844045,0.4539415363255638,823,32,44,4595.0,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,FELGMEQIXOGIFQ-UHFFFAOYSA-N,True,,2.0,ONDANSETRON | ONDANSETRON HYDROCHLORIDE,1.1157887115057152,4.070676680465602,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
PACLITAXEL,13.0,2199.0,530.0,397772.0,2212.0,4.436867529837748,2.55517825332027,7.704274037143302,0.28154419819803883,7.0,556.0,536.0,399415.0,563.0,9.381727826693869,4.430473974472344,19.86623045780211,0.382784377047468,2212,13,50,36314.0,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,RCINICONZNJXQF-MZXODVADSA-N,True,,1.0,PACLITAXEL,2.998936366768702,10.940870980789686,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
PROPOFOL,57.0,456.0,486.0,399515.0,513.0,102.75591563786008,76.93693670637306,137.2393891749576,0.14763792977726722,21.0,128.0,522.0,399843.0,149.0,125.66904633620689,78.59238180233041,200.9445297989867,0.23947809380597518,513,57,92,4943.0,CC(C)C1=C(C(=CC=C1)C(C)C)O,OLBCVFGFOZPWHH-UHFFFAOYSA-N,True,,2.0,DIPRIVAN | PROPOFOL,0.6955037776457252,2.537371977009543,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
ROCURONIUM,43.0,163.0,500.0,399808.0,206.0,210.94164417177913,149.05357191035213,298.5260713688614,0.17718150151530498,12.0,94.0,531.0,399877.0,106.0,96.13583363385023,52.40120724418943,176.37186230094264,0.30960841581913595,206,43,62,441351.0,CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C.[Br-],OYTJKRAYGYRUJK-FMCCZJBLSA-M,True,,2.0,ROCURONIUM | ROCURONIUM BROMIDE,0.2792861173392191,1.0189057061675748,True,False,False,False,False,positive_high,True,True,True,1.0,1.0
ALBUTEROL,10.0,969.0,533.0,399002.0,979.0,7.725455344574879,4.119611165445027,14.4874498791619,0.32079693047946617,1.0,255.0,542.0,399716.0,256.0,2.8920917444468563,0.40508208677981317,20.648147452751008,1.0028803960861419,979,10,19,2083.0,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,NDAUXUAQIAJITI-UHFFFAOYSA-N,True,,1.0,VENTOLIN,1.3272869362868713,4.842275176398329,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
APREPITANT,3.0,170.0,540.0,399801.0,173.0,13.065392156862744,4.159119342633181,41.04341764440347,0.5840120198854906,1.0,4.0,542.0,399967.0,5.0,184.48662361623616,20.586005877506206,1653.3228687410565,1.1188599191393227,173,3,4,135413536.0,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,ATALOFNDEOCMKK-OITMNORJSA-N,True,,1.0,APREPITANT,0.23454610825089758,0.8556829474125749,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
AZITHROMYCIN,5.0,837.0,538.0,399134.0,842.0,4.431808592379404,1.8323472218999302,10.718998650879373,0.4506173372318802,3.0,394.0,540.0,399577.0,397.0,5.634193457416807,1.8036567531822256,17.59987639532387,0.5811417717715047,842,5,12,447043.0,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N,True,,1.0,AZITHROMYCIN,1.141548110677779,4.164653420354845,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
BENDAMUSTINE,5.0,296.0,538.0,399675.0,301.0,12.548823219129911,5.163840894238735,30.495316840738763,0.45303379175372743,0.0,90.0,543.0,399881.0,90.0,4.064931104413282,0.2519861276788491,65.5737085046429,1.418764304210074,301,5,7,65628.0,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,YTKUWDBFDASYHO-UHFFFAOYSA-N,True,,1.0,BENDAMUSTINE,0.4080831131995386,1.4887894056137863,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
BORTEZOMIB,11.0,1160.0,532.0,398811.0,1171.0,7.108700090744102,3.9020567383224662,12.950507993348685,0.30602837544275807,1.0,521.0,542.0,399450.0,522.0,1.4145731668449122,0.19852102543050043,10.079623757827974,1.0018816834781255,1171,11,12,387447.0,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,True,,2.0,BORTEZOMIB | VELCADE,1.5875924437098328,5.7919348637001455,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
BUDESONIDE,12.0,692.0,531.0,399279.0,704.0,13.039384735965514,7.3226649655691896,23.219081453539424,0.29438777781065845,3.0,233.0,540.0,399738.0,236.0,9.531187410586552,3.0421904948990224,29.861224538057368,0.5826487212011373,704,12,20,5281004.0,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,VOVIALXJUBGFJZ-KWVAZRHASA-N,True,,1.0,BUDESONIDE,0.9544535272175254,3.482085520106663,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
CEFAZOLIN,26.0,134.0,517.0,399837.0,160.0,150.05863333237102,97.73248476289768,230.40029619841746,0.21877148357283022,1.0,20.0,542.0,399951.0,21.0,36.89584870848709,4.942792901979725,275.4118327260543,1.0255961772337454,160,26,42,33255.0,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,MLYYVTUWGNIJIB-BXKDBHETSA-N,True,,2.0,CEFAZOLIN | CEFAZOLIN SODIUM,0.21692125618580124,0.7913830727515143,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
CHLORHEXIDINE GLUCONATE,10.0,532.0,533.0,399439.0,542.0,14.086776509754687,7.492407705781778,26.485114028517884,0.322115468997027,0.0,12.0,543.0,399959.0,12.0,29.435841766329347,1.7405639562687212,497.8092171630649,1.442859115317949,542,10,12,9552081.0,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.C(C(C(C(C(C(=O)O)O)O)O)O)O.C(C(C(C(C(C(=O)O)O)O)O)O)O,YZIYKJHYYHPJIB-UUPCJSQJSA-N,True,,1.0,CHLORHEXIDINE GLUCONATE,0.7348207553294017,2.680810158945755,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
CYCLOPHOSPHAMIDE,13.0,3558.0,530.0,396413.0,3571.0,2.7328099313797236,1.5747690574080615,4.742441493827524,0.2812355752229519,0.0,535.0,543.0,399436.0,535.0,0.6862126635382764,0.04280947271480422,10.999617368271274,1.4155245824647156,3571,13,16,2907.0,C1CNP(=O)(OC1)N(CCCl)CCCl,CMSMOCZEIVJLDB-UHFFFAOYSA-N,True,,1.0,CYCLOPHOSPHAMIDE,4.841411286496851,17.66268095497286,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
CYTARABINE,11.0,991.0,532.0,398980.0,1002.0,8.324507029430286,4.567278937171593,15.1725826769732,0.30626847419238173,2.0,197.0,541.0,399774.0,199.0,7.5020689266915,1.8583372547191928,30.28569654830205,0.7119881125277079,1002,11,11,6253.0,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,True,,1.0,CYTARABINE,1.3584693668635803,4.9560364931063585,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DEXAMETHASONE ACETATE,7.0,27.0,536.0,399944.0,34.0,193.44997236042013,83.88111125918633,446.1420604051532,0.4263359612864248,0.0,0.0,0.0,0.0,0.0,,,,,34,7,7,236702.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,AKUJBENLRBOFTD-RPRRAYFGSA-N,True,,1.0,DEXAMETHASONE ACETATE,0.046095766939482766,0.1681689029596968,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DEXCHLORPHENIRAMINE,4.0,35.0,539.0,399936.0,39.0,84.79957593426981,30.0349412520673,239.42008137395757,0.5295556784145231,0.0,0.0,0.0,0.0,0.0,,,,,39,4,4,5281070.0,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O,DBAKFASWICGISY-DASCVMRKSA-N,True,,1.0,POLARAMINE,0.05287455619528905,0.1928996239831816,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DIPHENHYDRAMINE,11.0,686.0,532.0,399285.0,697.0,12.034829237817576,6.593503305790715,21.966640201154696,0.3070000335203325,0.0,111.0,543.0,399860.0,111.0,3.2991654324858395,0.20481039818550484,53.14423802374994,1.4180306897738828,697,11,26,3100.0,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,True,,2.0,BENADRYL | DIPHENHYDRAMINE,0.9449632222593967,3.4474625106737844,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DOXORUBICIN,6.0,1365.0,537.0,398606.0,1371.0,3.262782654961426,1.4567428594683198,7.307913393447215,0.4114170311680841,0.0,372.0,543.0,399599.0,372.0,0.9868908330915086,0.06153250511203775,15.828276691590682,1.4158131913027816,1371,6,7,31703.0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,AOJJSUZBOXZQNB-TZSSRYMLSA-N,True,,1.0,DOXORUBICIN,1.8587440139420843,6.781163704639538,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DROPERIDOL,4.0,26.0,539.0,399945.0,30.0,114.15584415584415,39.705563316860804,328.2048072442173,0.5388128862368726,0.0,3.0,543.0,399968.0,3.0,105.13037192798002,5.423632055238952,2037.82170124158,1.5124670946219358,30,4,4,3168.0,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,RMEDXOLNCUSCGS-UHFFFAOYSA-N,True,,1.0,DROPERIDOL,0.04067273553483773,0.14838432614090893,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
ENCORAFENIB,3.0,460.0,540.0,399511.0,463.0,4.825012077294686,1.5455651289325598,15.062931422448928,0.5808283750718918,2.0,369.0,541.0,399602.0,371.0,4.003446393059125,0.9949323653373974,16.109218656951526,0.7103245444342596,463,3,3,50922675.0,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,True,,1.0,BRAFTOVI,0.6277158850876623,2.2900647667746945,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
EPHEDRINE,3.0,33.0,540.0,399938.0,36.0,67.32962962962964,20.587130956723733,220.19964975170743,0.6045582816203707,1.0,4.0,542.0,399967.0,5.0,184.48662361623616,20.586005877506206,1653.3228687410565,1.1188599191393227,36,3,5,9294.0,CC(C(C1=CC=CC=C1)O)NC,KWGRBVOPPLSCSI-WPRPVWTQSA-N,True,,1.0,EPHEDRINE,0.04880728264180528,0.17806119136909074,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
ETOPOSIDE,9.0,1439.0,534.0,398532.0,1448.0,4.667707755854175,2.4104703374899645,9.038690646883733,0.3371664374290521,0.0,363.0,543.0,399608.0,363.0,1.0113483218580472,0.06305452506510068,16.22128510315591,1.41583666448114,1448,9,12,36462.0,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,VJJPUSNTGOMMGY-MRVIYFEKSA-N,True,,1.0,ETOPOSIDE,1.9631373684815012,7.162016808401205,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
FAMOTIDINE,11.0,238.0,532.0,399733.0,249.0,34.72754628167056,18.861386599792013,63.94028691182596,0.311436947871226,0.0,87.0,543.0,399884.0,87.0,4.2043317124457875,0.26055941687328266,67.84020842690889,1.4188978111737292,249,11,27,5702160.0,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,XUFQPHANEAPEMJ-UHFFFAOYSA-N,True,,1.0,FAMOTIDINE,0.3375837049391532,1.2315899069695442,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
FLUDARABINE,4.0,524.0,539.0,399447.0,528.0,5.657168349643813,2.1076410589295684,15.184537044683363,0.5037521096503448,0.0,81.0,543.0,399890.0,81.0,4.513920792861537,0.2795834028089691,72.878006060144,1.419194266384209,528,4,4,657237.0,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,HBUBKKRHXORPQB-FJFJXFQQSA-N,True,,1.0,FLUDARABINE,0.7158401454131441,2.6115641400799974,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
GABAPENTIN,11.0,1893.0,532.0,398078.0,1904.0,4.348090908729827,2.389277828688274,7.912807093245583,0.30548251053975395,2.0,895.0,541.0,399076.0,897.0,1.648410247937298,0.4105630965623781,6.618364797655074,0.709202547273778,1904,11,14,3446.0,C1CCC(CC1)(CC(=O)O)CN,UGJMXCAKCUNAIE-UHFFFAOYSA-N,True,,1.0,GABAPENTIN,2.581362948611035,9.41745856574302,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
GLYCOPYRROLATE,4.0,99.0,539.0,399872.0,103.0,29.974850546279118,10.992280622854294,81.73842136123191,0.5118191071763925,0.0,11.0,543.0,399960.0,11.0,31.995560177592896,1.8830114022506315,543.6588805858489,1.4452677773993903,103,4,5,11693.0,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],VPNYRYCIDCJBOM-UHFFFAOYSA-M,True,,1.0,GLYCOPYRROLATE,0.13964305866960955,0.5094528530837874,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
